symbol,fiscal_year,is_standard_period,roe,debt_to_equity,book_value_cr,bv_per_share,eps,net_profit_cr,equity_cr,borrowings_cr,revenue_cr,interest_expense_cr,revenue_growth_pct,earnings_growth_pct
ADANIPOWER,Mar 2024,True,48.55,81.27,42899.0,11122.37,5400.31,20829.0,42899.0,34862.0,50351.0,3388.0,29.86,94.17
ADANIPOWER,Mar 2025,True,22.63,70.09,56347.0,14609.02,3305.68,12750.0,56347.0,39495.0,56203.0,3340.0,11.62,-38.79
ADANIPOWER,Mar 2026,True,19.97,84.19,64937.0,16836.14,3362.98,12971.0,64937.0,54670.0,54241.0,3367.0,-3.49,1.73
ATGL,Mar 2018,True,15.94,132.38,1016.0,3953.31,630.35,162.0,1016.0,1345.0,1374.0,125.0,,
ATGL,Mar 2019,True,20.78,35.75,1102.0,10018.18,2081.82,229.0,1102.0,394.0,1719.0,90.0,25.11,41.36
ATGL,Mar 2020,True,29.64,29.1,1471.0,13372.73,3963.64,436.0,1471.0,428.0,1875.0,41.0,9.08,90.39
ATGL,Mar 2021,True,23.94,27.35,1934.0,17581.82,4209.09,463.0,1934.0,529.0,1696.0,40.0,-9.55,6.19
ATGL,Mar 2022,True,21.07,42.84,2416.0,21963.64,4627.27,509.0,2416.0,1035.0,3038.0,53.0,79.13,9.94
ATGL,Mar 2023,True,18.57,48.35,2941.0,26736.36,4963.64,546.0,2941.0,1422.0,4378.0,78.0,44.11,7.27
ATGL,Mar 2024,True,18.66,43.49,3580.0,32545.45,6072.73,668.0,3580.0,1557.0,4475.0,111.0,2.22,22.34
ATGL,Mar 2025,True,15.55,43.59,4207.0,38245.45,5945.45,654.0,4207.0,1834.0,5000.0,101.0,11.73,-2.1
ATGL,Mar 2026,True,13.48,46.35,4865.0,44227.27,5963.64,656.0,4865.0,2255.0,5894.0,129.0,17.88,0.31
ABCAPITAL,Mar 2015,True,17.04,0.0,1813.0,2394.98,408.19,309.0,1813.0,0.0,,1112.0,,
ABCAPITAL,Mar 2016,True,19.29,0.0,2717.0,3413.32,658.29,524.0,2717.0,0.0,,1612.0,,69.58
ABCAPITAL,Mar 2017,True,10.45,0.0,6610.0,5365.26,560.88,691.0,6610.0,0.0,,2299.0,,31.87
ABCAPITAL,Mar 2018,True,8.12,0.0,8538.0,3879.15,314.86,693.0,8538.0,0.0,,3024.0,,0.29
ABCAPITAL,Mar 2019,True,8.53,0.0,9512.0,4321.67,368.47,811.0,9512.0,0.0,,4109.0,,17.03
ABCAPITAL,Mar 2020,True,6.89,0.0,12576.0,5209.61,358.74,866.0,12576.0,0.0,,4634.0,,6.78
ABCAPITAL,Mar 2021,True,8.05,0.0,13742.0,5690.27,457.97,1106.0,13742.0,0.0,,3916.0,,27.71
ABCAPITAL,Mar 2022,True,10.72,0.0,15492.0,6412.25,687.09,1660.0,15492.0,0.0,,3480.0,,50.09
ABCAPITAL,Mar 2023,True,23.75,0.0,20311.0,8399.92,1995.04,4824.0,20311.0,0.0,,4722.0,,190.6
ABCAPITAL,Mar 2024,True,12.82,0.0,26817.0,10314.23,1322.69,3439.0,26817.0,0.0,,7617.0,,-28.71
ABCAPITAL,Mar 2025,True,11.22,0.0,30389.0,11656.69,1308.02,3410.0,30389.0,0.0,,9694.0,,-0.84
ABCAPITAL,Mar 2026,True,11.22,0.0,34424.0,13138.93,1474.81,3864.0,34424.0,0.0,,11622.0,,13.31
