symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,max_gain_pct,exit_reason,price,dist_20d,rsi,vol_ratio_10_50,range5_pct,ret_20d,bb_width,month
BIKAJI,2026-05-07,674.3,2026-05-14,640.58,-5.0,0.62,stop_loss,674.2999877929688,4.86,59.1,0.86,3.1,5.42,11.49,2026-05
BIKAJI,2026-05-19,678.25,2026-05-22,644.34,-5.0,1.58,stop_loss,678.25,4.3,52.1,0.91,7.08,2.37,7.65,2026-05
BSOFT,2026-05-06,372.5,2026-05-11,353.88,-5.0,2.54,stop_loss,372.5,6.84,38.1,0.38,4.24,0.53,9.76,2026-05
BLUEDART,2026-02-19,5667.5,2026-02-26,5612.0,-0.98,0.39,hold_expiry,5667.5,4.41,61.1,0.29,4.4,6.39,14.23,2026-02
BLUEDART,2026-05-08,5682.0,2026-05-11,5397.9,-5.0,0.0,stop_loss,5682.0,1.62,64.9,0.81,6.31,9.89,12.37,2026-05
BLUESTARCO,2026-02-26,1964.9,2026-03-02,1866.66,-5.0,0.16,stop_loss,1964.9000244140625,3.19,65.2,0.86,3.26,8.15,12.73,2026-02
BBTC,2026-05-06,1553.5,2026-05-12,1475.82,-5.0,3.69,stop_loss,1553.5,0.77,59.9,0.77,5.78,5.47,7.63,2026-05
BBTC,2026-05-22,1533.7,2026-06-01,1505.3,-1.85,1.19,hold_expiry,1533.699951171875,4.79,51.1,0.75,4.47,1.42,6.38,2026-05
BOSCHLTD,2026-02-25,36570.0,2026-03-04,34741.5,-5.0,0.72,stop_loss,36570.0,5.31,52.6,0.67,7.85,1.54,7.6,2026-02
BOSCHLTD,2026-05-05,35870.0,2026-05-12,36510.0,1.78,8.32,hold_expiry,35870.0,6.58,42.6,0.69,5.89,7.2,13.95,2026-05
BOSCHLTD,2026-05-15,37740.0,2026-05-21,35853.0,-5.0,0.0,stop_loss,37740.0,2.87,56.9,0.68,5.42,0.63,8.13,2026-05
BRIGADE,2026-05-07,773.15,2026-05-12,734.49,-5.0,0.5,stop_loss,773.1500244140625,5.25,53.9,0.3,6.34,10.28,14.95,2026-05
BRITANNIA,2026-02-19,6108.5,2026-02-26,6137.0,0.47,1.64,hold_expiry,6108.5,1.44,65.5,0.97,3.91,2.98,8.76,2026-02
BRITANNIA,2026-03-06,5983.0,2026-03-13,5808.5,-2.92,0.2,hold_expiry,5983.0,3.63,50.2,0.87,5.08,1.22,7.09,2026-03
BRITANNIA,2026-05-04,5792.5,2026-05-11,5502.88,-5.0,1.71,stop_loss,5792.5,2.22,61.6,0.98,3.2,4.65,6.67,2026-05
