date,symbol,action,score,price,pe_ratio,roe,debt_to_equity,reason,rank,sector,price_7d,price_30d,price_90d,return_7d,return_30d,return_90d,hybrid_fundamental_quality,hybrid_momentum_technical,hybrid_volume_strength,hybrid_multi_timeframe,hybrid_ml_signal,hybrid_risk_adjustment,score_v2,regime,hybrid_growth,hybrid_value,sleeve,fq_score,turbo_score_recomputed,picking_rank,active_oracle,exit_rule
2026-05-18 18:11:33.492622,UNIONBANK,SWAP,53.120000000000005,158.89,6.24077,15.708,0.0,[POLICY OVERRIDE] action=SWAP | raw=🟡 HOLD,0,Financial Services,167.55999755859375,,,5.46,,,79.1,20.5,8.1,41.1,50.0,50.1,48.9,SIDEWAYS,53.9,86.2,CORE,,,,,
2026-05-18 18:11:33.499498,ICICIGI,WEAK SELL,42.620000000000005,1813.0,32.82042,17.851,0.0,🟠 WEAK SELL,0,Financial Services,1860.300048828125,,,2.61,,,82.2,46.4,0.0,69.4,50.0,70.7,36.9,SIDEWAYS,59.5,20.0,TACTICAL,,,,,
2026-05-19 11:27:18.725436,GODFRYPHLP,NEW POSITION,78.265,2304.9,23.59402,26.593,3.757,🟢 STRONG BUY (UNDERVALUED) (SIDEWAYS-Q1: MEDIUM),0,Consumer Defensive,2310.89990234375,,,0.26,,,92.8,57.1,36.9,70.5,50.0,15.3,70.8,SIDEWAYS,100.0,23.2,TACTICAL,,,,,
2026-05-19 11:27:18.727407,BLUEJET,NEW POSITION,76.59,434.15,25.643827,26.935,1.643,🟢 STRONG BUY (SIDEWAYS-Q1: MEDIUM),0,Healthcare,470.25,,,8.32,,,85.9,41.8,3.5,65.9,50.0,16.2,68.5,SIDEWAYS,5.2,32.7,TACTICAL,,,,,
2026-05-19 11:27:18.729241,TARIL,NEW POSITION,76.20949999999999,295.6,33.55278,19.335,29.595,🟢 STRONG BUY (SIDEWAYS-Q1: MEDIUM),0,Industrials,322.1000061035156,,,8.96,,,69.8,20.8,0.4,65.3,50.0,13.1,73.3,SIDEWAYS,32.9,20.0,TACTICAL,,,,,
2026-05-19 11:27:18.731084,RPOWER,NEW POSITION,76.174,27.0,39.130436,18.0437,92.224,🟢 STRONG BUY (UNDERVALUED) (SIDEWAYS-Q1: MEDIUM),0,Utilities,27.649999618530273,,,2.41,,,54.4,25.1,7.5,64.8,50.0,9.3,75.3,SIDEWAYS,56.0,40.0,TACTICAL,,,,,
2026-05-19 11:27:18.733045,ABFRL,NEW POSITION,75.78999999999999,62.94,10.151613,-5.5169,84.682,🟢 STRONG BUY (UNDERVALUED) (SIDEWAYS-Q1: MEDIUM),0,Consumer Cyclical,64.05999755859375,,,1.78,,,45.8,33.3,0.0,60.4,50.0,12.0,71.0,SIDEWAYS,47.3,75.9,TACTICAL,,,,,
2026-05-19 11:27:18.735021,NEWGEN,NEW POSITION,74.93,474.35,22.470392,18.251,2.214,🟢 STRONG BUY (UNDERVALUED) (SIDEWAYS-Q1: MEDIUM),0,Technology,438.04998779296875,,,-7.65,,,81.1,37.4,37.1,58.0,50.0,18.6,70.0,SIDEWAYS,27.6,36.6,TACTICAL,,,,,
2026-05-19 11:27:18.736837,FIRSTCRY,NEW POSITION,74.78,229.57,192.37067600000003,-4.0382,31.483,🟢 STRONG BUY (SIDEWAYS-Q1: MEDIUM),0,Consumer Cyclical,229.52999877929688,,,-0.02,,,36.8,22.2,55.3,51.5,50.0,16.5,74.3,SIDEWAYS,70.9,26.9,TACTICAL,,,,,
2026-05-19 11:27:18.738762,PWL,HOLD,71.81,113.27,92.7895,-14.1613,67.044,[POLICY OVERRIDE] action=HOLD | raw=🟢 STRONG BUY (SIDEWAYS-Q1: MEDIUM),0,Consumer Defensive,111.98999786376953,,,-1.13,,,34.7,56.3,22.5,94.4,50.0,24.1,68.5,SIDEWAYS,41.9,0.0,TACTICAL,,,,,
